Id,NpcId,TemplateType,Subject,Body,Season,Weather,DayOfWeek,Priority
——小满,summer,any,any,High
tpl_song_newyear,song,LunarNewYear,新年祝福,亲爱的$[PLAYER_NAME]：

新年快乐！红包收好。

——松年,winter,any,any,High
tpl_yan_spring,yan,SeasonChange,春季祝福,亲爱的$[PLAYER_NAME]：

春回大地，万物复苏。
修行之路，从今日始。

——玄清,spring,any,any,Medium
tpl_qiao_autumn,qiao,SeasonChange,秋季祝福,亲爱的$[PLAYER_NAME]：

秋高气爽，绣线正当时。
送你一些彩线。

——锦时,autumn,any,any,Medium
tpl_ning_winter,ning,SeasonChange,冬季温暖,亲爱的$[PLAYER_NAME]：

天冷了，注意保暖。
送你一条温暖的围巾。

——宁,winter,any,any,Medium
tpl_he_travel,he,TravelSeason,旅行季提醒,亲爱的$[PLAYER_NAME]：

秋日宜远行，山中有新景。

——秋棠,autumn,any,any,Medium
tpl_mo_creative,mo,CreativePrompt,创意提示,亲爱的$[PLAYER_NAME]：

灵感无处不在，只要用心观察。

——墨,any,any,any,Low
tpl_shu_mystery,shu,SpecialOffer,神秘线索,亲爱的$[PLAYER_NAME]：

发现了一些有趣的线索……

——素锦,any,any,any,Medium
tpl_yu_morning,yu,MorningMist,晨雾之礼,亲爱的$[PLAYER_NAME]：

薄雾弥漫，这是云海的礼物。

——雾川,any,Mist,any,Medium
tpl_yan_retreat,yan,MeditationEvent,修行闭关,亲爱的$[PLAYER_NAME]：

冬季宜静修，来道观同修？

——玄清,winter,any,any,High
