Id,NpcId,EventType,Title,TriggerCondition,TriggerDay,Location,DialogueGroup,Reward,FollowUpEvent
married_an_1,an,daily,田间日出,on_wake,any,farm_area,married_an_wake,relationship_exp:10,married_an_2
married_an_2,an,daily,农事协作,on_morning_work,any,farm_area,married_an_work,farm_exp:5,married_an_3
married_an_3,an,daily,午后休憩,on_afternoon_relax,any,rest_house,married_an_relax,relationship_exp:15,married_an_4
married_an_4,an,daily,夜话丰年,on_night_chat,any,home_bedroom,married_an_night,harvest_bonus:1,married_an_1
married_song_1,song,daily,店铺开张,on_wake,any,market,married_song_wake,relationship_exp:10,married_song_2
married_song_2,song,daily,议价时光,on_morning_work,any,market,married_song_work,trade_discount:5,married_song_3
married_song_3,song,daily,账目核对,on_afternoon_relax,any,home_shop,married_song_relax,relationship_exp:15,married_song_4
married_song_4,song,daily,夜市漫步,on_night_chat,any,market,married_song_night,gold:100,married_song_1
married_wanxing_1,wanxing,daily,星象记录,on_wake,any,observation_platform,married_wanxing_wake,relationship_exp:10,married_wanxing_2
married_wanxing_2,wanxing,daily,天文观测,on_morning_work,any,observation_platform,married_wanxing_work,celestial_exp:5,married_wanxing_3
married_wanxing_3,wanxing,daily,占卜解读,on_afternoon_relax,any,observation_platform,married_wanxing_relax,relationship_exp:15,married_wanxing_4
married_wanxing_4,wanxing,daily,星河夜话,on_night_chat,any,observation_platform,married_wanxing_night,stardust:2,married_wanxing_1
married_xiaoman_1,xiaoman,daily,茶园共作,on_wake,any,tea_garden,married_xiaoman_wake,relationship_exp:10,married_xiaoman_2
married_xiaoman_2,xiaoman,daily,采茶时光,on_morning_work,any,tea_garden,married_xiaoman_work,tea_exp:5,married_xiaoman_3
married_xiaoman_3,xiaoman,daily,午后茶会,on_afternoon_relax,any,home_tea_room,married_xiaoman_relax,relationship_exp:15,married_xiaoman_4
married_xiaoman_4,xiaoman,daily,夜品香茗,on_night_chat,any,home_tea_room,married_xiaoman_night,tea_cloud:1,married_xiaoman_1
married_mo_1,mo,daily,锻造晨曦,on_wake,any,forge,married_mo_wake,relationship_exp:10,married_mo_2
married_mo_2,mo,daily,铸剑修行,on_morning_work,any,forge,married_mo_work,forge_exp:5,married_mo_3
married_mo_3,mo,daily,精工细作,on_afternoon_relax,any,forge,married_mo_relax,relationship_exp:15,married_mo_4
married_mo_4,mo,daily,炉火夜话,on_night_chat,any,forge,married_mo_night,tool_upgrade_chance:1,married_mo_1
married_lin_1,lin,daily,祠堂晨祷,on_wake,any,cloud_shrine,married_lin_wake,relationship_exp:10,married_lin_2
married_lin_2,lin,daily,祭祀准备,on_morning_work,any,cloud_shrine,married_lin_work,ritual_exp:5,married_lin_3
married_lin_3,lin,daily,传承讲授,on_afternoon_relax,any,cloud_shrine,married_lin_relax,relationship_exp:15,married_lin_4
married_lin_4,lin,daily,夜读典籍,on_night_chat,any,home_bedroom,married_lin_night,ancient_scroll:1,married_lin_1
married_yan_1,yan,daily,炉火通明,on_wake,any,forge,married_yan_wake,relationship_exp:10,married_yan_2
married_yan_2,yan,daily,锻造技艺,on_morning_work,any,forge,married_yan_work,forge_exp:5,married_yan_3
married_yan_3,yan,daily,匠心独运,on_afternoon_relax,any,forge,married_yan_relax,relationship_exp:15,married_yan_4
married_yan_4,yan,daily,淬火之夜,on_night_chat,any,forge,married_yan_night,weapon_upgrade_chance:1,married_yan_1
married_anniversary_1,any,annual,结婚一周年,on_marriage_day_365,365,cloud_pavilion,married_anniversary_1,relationship_exp:100,married_anniversary_2
married_anniversary_2,any,annual,携手同行,on_marriage_day_730,730,cloud_pavilion,married_anniversary_2,relationship_exp:200,married_anniversary_3
married_child_birth,any,special,孩子出生,on_child_birth,any,home_bedroom,married_child_birth,child_spawn,None
married_home_upgrade,any,special,爱巢升级,on_marriage_30days,30,home,married_home_upgrade,home_expand,None
married_reputation_boost,any,special,伉俪之名,on_marriage_100days,100,main_hall,married_reputation,reputation_boost,None
