# =============================================================================
# 美术资源映射表 (Sprite Mapping Table)
# =============================================================================
# 用途：解耦美术资源与游戏逻辑，通过此表统一管理所有图片资源
# 使用方式：
#   1. 将图片放入 assets/sprites/ 对应分类目录
#   2. 在此表中注册 SpriteId 与 FilePath 的映射关系
#   3. 游戏代码中通过 SpriteId 引用资源
# 换皮流程：只需修改此表的 FilePath，无需改代码
# =============================================================================

SpriteId,Category,FilePath,FrameCount,FPS,Width,Height,Description,AtlasSource
key_s,Input,third_party/kenney_input-prompts-pixel/PNG/tilemap.png,1,0,16,16,按键 S,
key_space,Input,third_party/kenney_input-prompts-pixel/PNG/tilemap.png,1,0,48,16,空格键,
key_enter,Input,third_party/kenney_input-prompts-pixel/PNG/tilemap.png,1,0,32,16,回车键,
icon_wasd,Input,third_party/kenney_input-prompts-pixel/PNG/tilemap.png,1,0,32,32,WASD 图标,
icon_arrows,Input,third_party/kenney_input-prompts-pixel/PNG/tilemap.png,1,0,32,32,方向键图标,
icon_gamepad_a,Input,third_party/kenney_input-prompts-pixel/PNG/tilemap.png,1,0,32,32,手柄 A 键,
icon_gamepad_b,Input,third_party/kenney_input-prompts-pixel/PNG/tilemap.png,1,0,32,32,手柄 B 键,

# =============================================================================
# 农场地形 (Farm Expansion 图集)
# =============================================================================
tile_dirt_1,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,泥土1,
tile_dirt_2,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,泥土2,
tile_water_1,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,水1,
tile_water_2,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,水2,
tile_water_3,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,水3,
tile_grass_1,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,草地1,
tile_grass_2,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,草地2,
tile_path_stone,Terrain,third_party/kenney_pixel-platformer-farm-expansion/Tilemap/tilemap.png,1,0,16,16,石板路,

# =============================================================================
# 食物图标 (Food Expansion 图集)
# =============================================================================
food_apple,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,苹果,
food_bread,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,面包,
food_cheese,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,奶酪,
food_meat,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,肉,
food_fish,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,鱼,
food_carrot,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,胡萝卜,
food_mushroom,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,蘑菇,
food_cake,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,蛋糕,
food_pie,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,派,
food_soup,Food,third_party/kenney_pixel-platformer-food-expansion/Tilemap/tilemap.png,1,0,32,32,汤,
