id,name,machine_id,input_item,input_count,output_item,output_count,process_time,base_success_rate,tags
sunset_oolong_process,暮霞乌龙焙火,tea_machine,sunset_oolong_leaf,2,sunset_oolong_pack,1,120,0.84,tea;process
frost_needle_tea_process,霜针灵茶凝香,tea_machine,frost_needle_tea_leaf,2,frost_needle_tea_pack,1,140,0.81,tea;process;buff
tide_heart_tea_process,潮心古茶熬炼,ferment_machine,tide_heart_tea_leaf,1,tide_heart_tea_brew,1,210,0.76,tea;legendary;buff
# ============================================================================
# 洒水器合成配方（5级）
# ============================================================================
sprinkler_copper_craft,铜洒水器制作,tea_machine,copper_ingot,2,sprinkler_copper,1,80,0.90,tool;sprinkler
sprinkler_silver_craft,银洒水器制作,tea_machine,silver_ingot,2,sprinkler_silver,1,100,0.88,tool;sprinkler
sprinkler_gold_craft,金洒水器制作,tea_machine,gold_ingot,2,sprinkler_gold,1,120,0.85,tool;sprinkler
sprinkler_spirit_craft,灵金洒水器制作,tea_machine,spirit_ingot,1,sprinkler_spirit,1,180,0.80,tool;sprinkler;legendary
# ============================================================================
# 农业工具合成配方
# ============================================================================
tool_hoe_copper,铜锄制作,tea_machine,copper_ingot,3,hoe_copper,1,90,0.90,tool;hoe
tool_hoe_silver,银锄制作,tea_machine,silver_ingot,3,hoe_silver,1,110,0.88,tool;hoe
tool_hoe_gold,金锄制作,tea_machine,gold_ingot,3,hoe_gold,1,130,0.85,tool;hoe
tool_hoe_spirit,灵金锄制作,tea_machine,spirit_ingot,1,hoe_spirit,1,200,0.80,tool;hoe;legendary
tool_can_copper,铜水壶制作,tea_machine,copper_ingot,2,watering_can_copper,1,70,0.90,tool;watering_can
tool_can_silver,银水壶制作,tea_machine,silver_ingot,2,watering_can_silver,1,90,0.88,tool;watering_can
tool_can_gold,金水壶制作,tea_machine,gold_ingot,2,watering_can_gold,1,110,0.85,tool;watering_can
tool_can_spirit,灵金水壶制作,tea_machine,spirit_ingot,1,watering_can_spirit,1,160,0.80,tool;watering_can;legendary
# ============================================================================
# 镰刀/剪刀/斧头/镐子合成配方
# ============================================================================
tool_sickle_copper,铜镰刀制作,tea_machine,copper_ingot,3,sickle_copper,1,80,0.88,tool;sickle
tool_sickle_silver,银镰刀制作,tea_machine,silver_ingot,3,sickle_silver,1,100,0.85,tool;sickle
tool_sickle_gold,金镰刀制作,tea_machine,gold_ingot,3,sickle_gold,1,120,0.82,tool;sickle
tool_sickle_spirit,灵金镰刀制作,tea_machine,spirit_ingot,1,sickle_spirit,1,180,0.78,tool;sickle;legendary
tool_scissors_copper,铜剪刀制作,tea_machine,copper_ingot,2,scissors_copper,1,70,0.88,tool;scissors
tool_scissors_silver,银剪刀制作,tea_machine,silver_ingot,2,scissors_silver,1,90,0.85,tool;scissors
tool_scissors_gold,金剪刀制作,tea_machine,gold_ingot,2,scissors_gold,1,110,0.82,tool;scissors
tool_scissors_spirit,灵金剪刀制作,tea_machine,spirit_ingot,1,scissors_spirit,1,160,0.78,tool;scissors;legendary
tool_axe_copper,铜斧头制作,tea_machine,copper_ingot,3,axe_copper,1,90,0.88,tool;axe
tool_axe_silver,银斧头制作,tea_machine,silver_ingot,3,axe_silver,1,110,0.85,tool;axe
tool_axe_gold,金斧头制作,tea_machine,gold_ingot,3,axe_gold,1,130,0.82,tool;axe
tool_axe_spirit,灵金斧头制作,tea_machine,spirit_ingot,1,axe_spirit,1,200,0.78,tool;axe;legendary
tool_pickaxe_copper,铜镐子制作,tea_machine,copper_ingot,3,pickaxe_copper,1,90,0.88,tool;pickaxe
tool_pickaxe_silver,银镐子制作,tea_machine,silver_ingot,3,pickaxe_silver,1,110,0.85,tool;pickaxe
tool_pickaxe_gold,金镐子制作,tea_machine,gold_ingot,3,pickaxe_gold,1,130,0.82,tool;pickaxe
tool_pickaxe_spirit,灵金镐子制作,tea_machine,spirit_ingot,1,pickaxe_spirit,1,200,0.78,tool;pickaxe;legendary
# ============================================================================
# 肥料合成配方
# ============================================================================
# 普通肥料 - 基础生长加速
|fertilizer_basic_craft,普通肥料制作,tea_machine,Turnip,3,FertilizerItem,1,40,0.95,fertilizer;basic
# 优质肥料 - 生长加速 + 品质提升
|fertilizer_premium_craft,优质肥料制作,tea_machine,FertilizerItem,3,premium_fertilizer,1,80,0.85,fertilizer;premium
# 灵肥 - 生长加速 + 品质大幅提升
|fertilizer_spirit_craft,灵肥制作,tea_machine,spirit_grass,5,spirit_fertilizer,1,120,0.80,fertilizer;spirit
# 云华肥 - 生长加速 + 品质极致提升
|fertilizer_cloud_craft,云华肥制作,tea_machine,cloud_dew,3,cloud_fertilizer,1,150,0.75,fertilizer;cloud_essence
# 茶魂肥 - 生长加速 + 品质大幅提升 + 茶魂花特殊加成
|fertilizer_tea_soul_craft,茶魂肥制作,tea_machine,spirit_essence,2,tea_soul_fertilizer,1,200,0.70,fertilizer;tea_soul;legendary
